ID,Sex,Age,Region,Children,Est_Income,Car_Owner,Status,Lifetime Segments,Loyalty Level,International Segments,Local Segments,Cancellations,Type Travel,Customer_Segments,Trips_To_The_Website_Yr
220,F,35.706667,3,2,7776.6,N,M,94.2,4,0,68.33,0,Business,High Income Families,19
221,M,47.853333,2,1,2067.82,N,M,85.9,4,0,70.65,0,Business,High Income Families,17
222,M,52,1,0,66666,N,S,20.74,1,7.66,8.49,0,Personal,Low Value and No Kids,4
224,F,42.166667,3,2,69343.3,N,M,21.91,2,0,15.54,0,Business,High Income Families,4
225,F,55,1,0,77000,N,M,24.46,4,0,23.89,2,Personal,Married No Kids,5
228,F,52,1,0,14932.5,N,M,11.42,1,0,6.5,0,Business,High Income Families,2
229,F,42,1,0,27498.1,N,S,12.08,4,0,9.88,0,Business,High Income Families,2
231,F,59.833333,3,2,21419.9,N,M,129.51,1,0,103.12,0,Business,High Income Families,26
232,F,22.88,3,2,30665.2,Y,M,77.44,3,8.32,63.28,0,Personal,Married No Kids,15
233,F,63.353333,2,1,66000,Y,M,37.04,2,0,30.95,0,Personal,Married No Kids,7
234,F,52,3,2,50561.3,N,M,129.91,2,0,113.31,1,Personal,Low Value and No Kids,26
236,F,70,3,2,23464,Y,S,64.14,3,0,41.71,0,Business,High Income Families,13
237,F,42,3,2,194.57,N,M,67.21,4,0,38.95,0,Business,High Income Families,13
238,F,55,2,1,98680.4,Y,M,26.44,4,0,8.85,0,Personal,Low Value and No Kids,5
239,M,46,2,1,65619.7,Y,M,158.22,3,0,144.66,0,Business,High Income Families,32
240,F,52,2,1,95620.3,Y,M,104.53,2,0,93.61,0,Business,High Income Families,21
241,F,47,1,0,85275,N,S,174.09,2,0,151.61,0,Personal,Married No Kids,35
242,F,43,2,1,66921.4,Y,M,24.67,3,0,8.97,0,Business,High Income Families,5
243,F,46,2,1,98453.6,Y,M,25.38,3,0,11.65,0,Personal,Married No Kids,5
244,F,27.746667,3,2,94026.8,Y,M,35.63,3,0,10.62,0,Business,High Income Families,7
246,F,61,3,2,57420,Y,S,277.72,2,0,252.53,1,Personal,Married No Kids,56
247,M,44,1,0,77000,N,M,34.35,4,3.73,26.69,1,Personal,Low Value and No Kids,7
249,M,48,3,2,47639.1,N,M,57.11,4,0,39.62,0,Business,High Income Families,11
250,F,52.36,3,2,63234.5,Y,M,1.16,3,0,1.16,0,Personal,Low Value and No Kids,0
254,F,42.626667,3,2,18296.4,Y,M,10.47,3,0,10.39,0,Business,High Income Families,2
255,F,22.226667,1,0,39461,N,S,126.68,4,0.28,103.52,1,Business,High Income Families,25
257,F,60,2,1,68000,N,S,86.12,3,0,63.29,0,Personal,Married No Kids,17
260,F,39.746667,3,2,52957,Y,M,151.32,2,0,125.52,2,Personal,Low Value and No Kids,30
261,F,64.853333,3,2,86747.1,N,S,57.4,3,0,37.24,0,Personal,Married No Kids,11
263,F,63.186667,2,1,87404.6,N,M,160.84,3,0,139.2,0,Personal,Married No Kids,32
264,M,27.886667,3,2,20919,N,S,164.54,2,4.92,153.36,0,Business,High Income Families,33
265,F,20.16,3,2,85394,Y,M,35.69,4,2.02,14.38,1,Personal,Married No Kids,7
266,F,39.786667,1,0,2121.36,N,S,38.8,3,0,36.78,1,Business,High Income Families,8
267,F,56.3,3,2,63566.1,Y,M,73.03,2,0,65.09,0,Personal,Low Value and No Kids,15
270,F,12.846667,1,0,89813.6,N,S,166.18,4,1.96,149.26,0,Business,High Income Families,33
271,F,50.08,3,2,25738.4,N,M,48.67,1,9.57,19.2,0,Personal,Low Value and No Kids,10
272,F,33.493333,3,2,82644.2,Y,M,41.85,4,0,19.88,0,Business,High Income Families,8
273,F,14.04,2,1,27783.6,N,S,29.58,3,6.53,18.07,0,Business,High Income Families,6
276,F,41.666667,3,2,60485.5,N,M,40.41,1,0,28.7,0,Personal,Married No Kids,8
279,F,31.913333,3,2,809.43,Y,M,2.89,1,0,2.89,0,Personal,Low Value and No Kids,1
280,M,58.28,2,1,76529.8,N,S,43.89,1,5.36,20.05,0,Business,High Income Families,9
281,F,63.253333,3,2,34577.7,N,M,145.75,2,0,116.57,3,Personal,Low Value and No Kids,29
283,F,48,1,0,80000,N,M,73.02,3,0,45.46,0,Personal,Married No Kids,15
284,F,52.166667,3,2,19008.4,Y,S,147.74,4,0,137.19,0,Business,High Income Families,30
285,F,55.966667,1,0,98056.3,N,M,150.67,3,0,126.96,0,Personal,Married No Kids,30
286,M,64.226667,1,0,73400,Y,M,2.21,4,0,2.21,0,Personal,Low Value and No Kids,0
288,M,28,1,0,78894.2,N,M,46.65,2,1.41,43.23,0,Personal,Low Value and No Kids,9
289,M,20.92,2,1,16432.1,Y,S,109.78,1,8.89,80.47,0,Personal,Low Value and No Kids,22
290,M,54.446667,1,0,62797.9,N,M,68.09,1,4.28,55.48,0,Personal,Low Value and No Kids,14
291,M,42.233333,2,1,71329.9,Y,S,63.75,3,3.55,45.92,0,Business,High Income Families,13
295,F,53.013333,1,0,20913.6,N,S,95.93,4,7.16,65.77,0,Business,High Income Families,19
298,F,39.213333,2,1,540.4,Y,S,20.1,4,0,7.75,0,Personal,Married No Kids,4
302,M,17.006667,3,2,67339.8,N,M,81.72,2,5.19,48.69,0,Business,High Income Families,16
304,M,46.38,2,1,75799.9,N,M,94.06,3,7.02,64.8,0,Business,High Income Families,19
305,F,53.06,3,2,15688.5,N,S,22.42,4,0,8.03,0,Business,High Income Families,4
306,F,16.073333,1,0,43382.3,N,S,138.37,2,8.76,99.94,0,Personal,Low Value and No Kids,28
308,F,62.053333,1,0,5185.31,N,S,52.9,2,5.99,30.51,0,Business,High Income Families,11
309,F,16.06,1,0,41000,N,S,134.45,4,0,108.44,0,Business,High Income Families,27
310,F,22.433333,1,0,32098,N,S,106.53,2,8.28,75.27,0,Personal,Low Value and No Kids,21
312,F,41.92,3,2,80087.7,N,M,31.56,4,0,22.82,0,Business,High Income Families,6
313,F,38.04,3,2,59691.3,N,M,278.65,2,0,256.7,0,Business,High Income Families,56
315,F,61,3,2,11251.1,Y,S,141.91,2,0,113.48,0,Business,High Income Families,28
317,M,49.62,1,0,70908.7,N,M,55.47,4,4.55,43.2,0,Business,High Income Families,11
318,M,40.18,1,0,94928.3,N,S,93.78,4,5.61,73.74,0,Personal,Low Value and No Kids,19
320,F,40.46,3,2,50622.3,N,M,112.72,2,2.07,90.19,0,Personal,Married No Kids,23
322,M,52.266667,1,0,78000,Y,M,39.32,3,4.27,18.84,0,Business,High Income Families,8
326,M,52.266667,1,0,100020,Y,M,92.37,4,0,62.81,0,Personal,Low Value and No Kids,18
329,F,60.593333,2,1,56722.8,N,M,74.77,2,6.21,51.17,0,Business,High Income Families,15
331,M,53.213333,2,1,80000,N,M,3.22,3,0,3.22,0,Business,High Income Families,1
332,F,22.76,3,2,3416.62,Y,S,123.7,4,0,104.73,0,Business,High Income Families,25
333,F,55.633333,1,0,73400,Y,M,10.39,2,0,10.22,0,Personal,Married No Kids,2
334,M,53.213333,1,0,120000,Y,M,40.9,4,0,25.62,0,Business,High Income Families,8
335,F,45.666667,3,2,8032.16,N,M,88.77,2,0,59.08,0,Business,High Income Families,18
336,F,48.533333,2,1,93454.3,Y,S,44.13,4,0,25.18,0,Personal,Married No Kids,9
337,M,15.38,1,0,5745,Y,M,44.11,1,0,17.71,0,Business,High Income Families,9
338,F,77,1,0,83287,N,S,215.96,4,7.35,208.19,0,Personal,Married No Kids,43
339,F,49.133333,1,0,92564.1,Y,S,74.86,3,0,51.68,0,Personal,Married No Kids,15
341,M,38.133333,1,0,86448.2,Y,S,90.25,2,3.14,82.19,0,Business,High Income Families,18
343,F,49.333333,3,2,48322.5,Y,M,50.29,1,0,43.6,0,Business,High Income Families,10
346,F,49.66,3,2,81913.8,Y,M,53.03,1,0,46.33,0,Business,High Income Families,11
349,F,38.26,1,0,919.93,N,S,120.71,3,0,93.42,0,Personal,Low Value and No Kids,24
350,F,30.946667,3,2,69486.8,N,M,17.11,1,0,9.39,1,Business,High Income Families,3
351,F,33.533333,3,2,24482.8,N,M,2,4,0,2,0,Personal,Low Value and No Kids,0
353,F,64.606667,1,0,14573.6,N,M,263.58,4,0,236.97,0,Business,High Income Families,53
354,F,52.153333,3,2,92103.8,N,M,14.86,3,0,7.43,0,Business,High Income Families,3
355,F,36.68,3,2,8392.14,Y,S,87.16,3,7.33,54.8,0,Personal,Low Value and No Kids,17
356,F,63.786667,1,0,17138.2,N,S,104.69,3,0,84.67,0,Business,High Income Families,21
358,F,57.406667,3,2,47010.1,N,M,167.31,1,0,164.76,0,Business,High Income Families,33
360,F,44.433333,2,1,67239.4,N,S,66.7,2,0,53.81,0,Personal,Married No Kids,13
361,M,30,2,1,69406.7,Y,M,142.23,2,7.21,128.1,1,Business,High Income Families,28
363,F,50.88,3,2,83259.3,N,M,4.46,4,0,4.46,0,Business,High Income Families,1
365,M,23.313333,3,2,60095.2,Y,S,117.85,2,0,116.14,0,Personal,Married No Kids,24
370,F,52.513333,3,2,2185.6,N,M,28.07,1,0,20.95,1,Personal,Low Value and No Kids,6
372,M,62.08,2,1,76511.3,N,M,42.52,2,3.46,17.37,0,Business,High Income Families,9
374,F,23,2,1,6946.07,N,M,34.61,2,0,8.84,0,Personal,Low Value and No Kids,7
375,F,49.046667,3,2,11234.7,Y,M,113.42,3,0,112.72,0,Business,High Income Families,23
377,F,39.96,3,2,36660.9,Y,M,3.36,1,0,3.36,1,Personal,Low Value and No Kids,1
379,F,34.4,3,2,68462.8,N,M,90.84,2,5.93,60.51,0,Business,High Income Families,18
382,F,47.02,3,2,72841.3,N,M,82.53,1,0,72.16,0,Business,High Income Families,17
383,F,46.146667,3,2,63670.8,Y,M,78.87,2,0,51.47,0,Personal,Married No Kids,16
384,M,45.486667,1,0,83287,N,S,70.7,2,5.24,35.73,0,Business,High Income Families,14
385,F,45.486667,2,1,66000,Y,S,120.53,1,0,100.08,0,Personal,Married No Kids,24
386,M,56.173333,1,0,12387.6,N,M,93.85,2,0,65.93,0,Personal,Married No Kids,19
388,F,64.64,2,1,82931.3,N,M,137.25,2,0,118,0,Personal,Married No Kids,27
389,F,44.026667,3,2,57483.9,N,M,44.3,2,0,27.29,0,Personal,Low Value and No Kids,9
391,F,45.526667,3,2,21274,N,S,43.31,2,0,32.43,0,Personal,Married No Kids,9
392,F,30.093333,3,2,28267,N,M,214.41,2,0,192.53,0,Business,High Income Families,43
394,F,55.793333,3,2,36725.1,N,M,94.88,2,9.22,77,0,Personal,Low Value and No Kids,19
398,M,57.546667,2,1,94188.3,N,S,41.51,2,0.86,19.78,0,Business,High Income Families,8
401,F,41.98,3,2,91861,Y,M,22.06,3,0,6.74,0,Business,High Income Families,4
404,F,33.493333,2,1,12374.9,Y,S,123.59,3,0,106.1,0,Personal,Married No Kids,25
405,F,26.833333,3,2,69133.9,Y,M,46.32,2,0,37.73,0,Personal,Low Value and No Kids,9
407,F,29.446667,3,2,84948,Y,M,23.73,3,0,12.58,0,Personal,Low Value and No Kids,5
408,F,40.96,3,2,30998.8,N,M,52.91,2,0,50.5,0,Personal,Married No Kids,11
410,M,14.46,1,0,15924.2,N,S,1.46,2,0,1.46,0,Personal,Low Value and No Kids,0
414,M,35.653333,3,2,21416.5,N,M,27.61,1,9.17,8.53,0,Business,High Income Families,6
418,M,16.7,3,2,78554.2,N,M,35.88,3,7.26,23.03,0,Personal,Married No Kids,7
419,M,14.693333,2,1,3960.5,N,S,96.13,2,0,66.35,0,Personal,Married No Kids,19
421,M,63.766667,1,0,60101.1,Y,M,157.96,4,6.11,124.14,2,Personal,Low Value and No Kids,32
422,F,30.886667,3,2,38215.9,N,M,0.97,2,0,0.97,0,Personal,Married No Kids,0
423,F,22,2,1,13829.4,N,M,176.61,1,0,160.42,0,Business,High Income Families,35
424,F,47.966667,3,2,49745.3,N,M,27.28,3,0,24.44,0,Personal,Low Value and No Kids,5
426,F,13.86,3,2,88427,N,M,69.97,3,4.16,43.34,0,Business,High Income Families,14
427,F,26.273333,3,2,98003.7,Y,M,84.42,1,0,83.39,0,Business,High Income Families,17
428,M,33,1,0,89142.7,N,S,16.91,2,8.13,5.01,0,Business,High Income Families,3
429,F,63.086667,1,0,74530.8,N,S,127.89,2,0.49,106.5,0,Personal,Married No Kids,26
431,F,23,1,0,35000,N,S,265.78,3,0,262.91,0,Business,High Income Families,53
436,F,48.206667,3,2,76289.2,N,M,104.63,2,0,82.43,0,Business,High Income Families,21
438,M,63.933333,2,1,66931.9,N,M,17.46,4,0.39,5.35,0,Business,High Income Families,3
439,F,24,2,1,9309.57,Y,D,108.3,2,0,99.73,0,Business,High Income Families,22
440,F,23,2,1,14085.5,N,M,48.08,1,0,26.78,0,Personal,Married No Kids,10
441,F,19,1,0,32962.6,N,S,168.28,2,0,154.77,0,Business,High Income Families,34
442,F,20,1,0,40000,N,S,65.79,2,0,61.44,0,Business,High Income Families,13
443,F,21,3,2,33330,N,S,41.78,3,0,35.73,0,Personal,Married No Kids,8
444,F,22,2,1,32098,N,S,23.52,1,0,9.51,0,Personal,Married No Kids,5
445,F,24,3,2,30090,N,S,62.95,1,2.22,38.18,0,Business,High Income Families,13
446,F,24,2,1,40120,N,S,134.75,4,0,106.3,0,Business,High Income Families,27
450,F,44.926667,3,2,90271.6,N,M,110.4,4,0,96.43,0,Business,High Income Families,22
455,F,31.126667,3,2,64816.6,Y,M,27.87,2,0,6.87,0,Business,High Income Families,6
456,F,44.98,3,2,98217.1,N,M,42.74,1,0,13.24,0,Business,High Income Families,9
458,F,53.506667,2,1,2929.13,N,S,102.23,1,0,88.23,0,Personal,Low Value and No Kids,20
460,F,44.093333,3,2,41876.6,Y,M,139.44,3,0,132.65,0,Business,High Income Families,28
461,M,64.76,1,0,96223.4,Y,M,18.18,1,0.63,5.73,0,Business,High Income Families,4
462,F,61.693333,1,0,15989.3,N,S,29.17,4,0,25.49,1,Business,High Income Families,6
463,M,62.426667,1,0,69168.4,Y,M,234.91,2,6.01,214.73,0,Business,High Income Families,47
464,M,33,2,1,92148.5,Y,M,113.68,2,0,100.9,0,Business,High Income Families,23
465,M,19.76,1,0,96681,Y,M,73.76,2,7.66,40.92,0,Business,High Income Families,15
466,M,32,1,0,62705.9,Y,S,33.44,2,0,6.81,0,Business,High Income Families,7
467,M,29.026667,1,0,80221.2,N,S,50.48,2,0,49.56,0,Personal,Married No Kids,10
468,M,30,1,0,84479.2,N,S,56.23,2,0,43.01,0,Business,High Income Families,11
469,F,38.193333,3,2,64977.4,N,M,45.77,2,0,17.66,0,Business,High Income Families,9
470,F,50.553333,1,0,77994,N,M,102.02,1,0,89.62,0,Personal,Low Value and No Kids,20
471,M,34.946667,3,2,90103.7,N,M,66.45,3,8.87,45.34,0,Business,High Income Families,13
472,F,30.18,1,0,59008.4,Y,M,31.59,1,0,18.73,0,Business,High Income Families,6
473,M,52.873333,3,2,5265.35,N,M,31.1,3,5.3,23.46,0,Personal,Married No Kids,6
474,M,21.64,2,1,84978.1,N,S,88.79,1,7.68,76.07,0,Personal,Low Value and No Kids,18
475,F,49.986667,3,2,36647.9,N,M,107.38,3,0,85.96,0,Business,High Income Families,21
476,F,41.226667,1,0,64319.2,N,S,40.16,1,0,37.15,0,Personal,Low Value and No Kids,8
477,F,48.246667,2,1,73338,N,S,29.93,3,0,9.01,0,Personal,Married No Kids,6
478,F,60.746667,1,0,433.74,N,S,44.22,1,0,40.91,0,Business,High Income Families,9
479,F,45.36,3,2,16962.2,N,M,27.57,2,0,8.96,0,Business,High Income Families,6
481,M,26.026667,3,2,10708.3,N,M,142.95,3,4.85,117.26,0,Personal,Low Value and No Kids,29
484,F,20.3,1,0,2031.61,N,M,109.04,2,0,87.4,0,Business,High Income Families,22
488,F,55,3,2,16938.5,N,S,22.11,2,0,8.76,0,Personal,Low Value and No Kids,4
491,F,42,1,0,55221,N,M,15.69,3,0,15.2,0,Business,High Income Families,3
492,F,43,2,1,8073.11,N,M,89.05,2,0,60.35,0,Personal,Married No Kids,18
493,M,53.68,2,1,95448.6,Y,M,29.46,3,0,5.21,0,Personal,Low Value and No Kids,6
494,M,17.006667,2,1,24141.5,Y,S,125.87,4,0,97.05,0,Business,High Income Families,25
495,M,63.173333,3,2,63152.6,Y,S,70.01,1,0,40.07,0,Business,High Income Families,14
497,M,55.64,3,2,72084.7,N,S,38.13,1,0,9.02,0,Business,High Income Families,8
498,F,46,1,0,42760.5,N,S,53.7,3,0,40.23,0,Business,High Income Families,11
499,F,47,2,1,49072,N,S,34.25,2,0,10.74,0,Personal,Married No Kids,7
500,F,48,1,0,27371.8,Y,M,142.7,4,0,126.55,0,Business,High Income Families,29
504,M,41.913333,2,1,71472.9,N,M,130.22,3,0,114.2,0,Personal,Low Value and No Kids,26
505,F,42,1,0,95405.7,N,M,13.96,4,0,6.21,0,Business,High Income Families,3
506,F,43,1,0,95786.8,Y,S,108.79,4,0,87.46,0,Business,High Income Families,22
508,M,30,1,0,90321.6,N,S,12.39,2,0,11.52,0,Personal,Married No Kids,2
509,M,54.553333,1,0,90478.6,N,S,154.49,2,0,136.47,0,Business,High Income Families,31
510,F,42,3,2,56187,N,M,21.83,2,0,13.74,0,Personal,Low Value and No Kids,4
513,F,24.393333,2,1,37000,N,S,229.64,2,0,206.08,0,Business,High Income Families,46
518,M,49.426667,3,2,29616,N,M,75.29,1,0,45.5,0,Personal,Low Value and No Kids,15
520,M,50.673333,1,0,19732.8,N,M,47.25,2,0,22.44,0,Business,High Income Families,9
523,M,56.473333,3,2,96.33,N,S,59.01,4,0,32.88,1,Business,High Income Families,12
526,F,25.14,3,2,52004.8,N,M,28.14,1,0,23.11,0,Personal,Low Value and No Kids,6
529,M,18.84,3,2,53010.8,N,M,58.87,1,0,46.42,4,Business,High Income Families,12
530,M,64.8,1,0,75004.5,N,M,58.72,2,0,32.19,0,Business,High Income Families,12
533,M,60.366667,1,0,19749.3,N,M,34.17,1,0,13.94,0,Business,High Income Families,7
534,M,43.906667,2,1,57626.9,Y,S,48.35,3,0,38.96,0,Business,High Income Families,10
